subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1035.889302	-420.000000	0.000000	30.000000	1082.933729	0.000000	0.000000	0.000000	0	6.691156	436.457955	229.571524	-356.667034	-252.808195	233.716679	-353.870592	-244.471190	44.787842	0.000000	-420.000000	0	9.721526	0.118016	0.065676	231.644101	-355.268813	-248.639692	186.856260	355.268813	171.360308	353.870592	175.528810	194.191805	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1083.127917	-420.000000	0.000000	31.000000	1129.921696	0.000000	0.000000	0.000000	0	6.691520	436.374941	229.457602	-356.691250	-252.813163	233.395904	-353.898715	-244.523844	44.787842	0.000000	-420.000000	0	9.592772	0.128753	0.083013	231.426753	-355.294982	-248.668504	186.638911	355.294982	171.331496	353.898715	175.476156	194.186837	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1130.025206	-420.000000	0.000000	32.000000	1176.918645	0.000000	0.000000	0.000000	0	6.743433	436.403636	229.442774	-356.717738	-252.897042	233.558714	-353.905489	-244.524012	44.787842	0.000000	-420.000000	0	9.744605	0.151833	0.028695	231.500744	-355.311613	-248.710527	186.712902	355.311613	171.289473	353.905489	175.475988	194.102958	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1177.020444	-420.000000	0.000000	33.000000	1224.445120	0.000000	0.000000	0.000000	0	6.819539	436.418131	229.166241	-356.802029	-253.019103	233.632934	-354.041593	-244.564904	44.787842	0.000000	-420.000000	0	9.952127	0.207522	0.014495	231.399587	-355.421811	-248.792003	186.611746	355.421811	171.207997	354.041593	175.435096	193.980897	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1224.546492	-420.000000	0.000000	34.000000	1271.552851	0.000000	0.000000	0.000000	0	6.871211	436.534060	229.363743	-356.872523	-253.171705	233.710982	-354.137976	-244.468135	44.787842	0.000000	-420.000000	0	10.105858	0.153731	0.115929	231.537363	-355.505249	-248.819920	186.749521	355.505249	171.180080	354.137976	175.531865	193.828295	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1271.681169	-420.000000	0.000000	35.000000	1318.370154	0.000000	0.000000	0.000000	0	7.009766	436.256766	229.214370	-356.879481	-253.378558	232.871742	-354.148960	-244.635474	44.787842	0.000000	-420.000000	0	9.862740	0.243118	0.277293	231.043056	-355.514220	-249.007016	186.255214	355.514220	170.992984	354.148960	175.364526	193.621442	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1318.466821	-420.000000	0.000000	36.000000	1365.651114	0.000000	0.000000	0.000000	0	7.528009	435.623202	229.052501	-356.617603	-253.949631	231.903400	-353.973127	-245.157649	44.787842	0.000000	-420.000000	0	9.613522	0.249217	0.633564	230.477951	-355.295365	-249.553640	185.690109	355.295365	170.446360	353.973127	174.842351	193.050369	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1365.747353	-420.000000	0.000000	37.000000	1412.671160	0.000000	0.000000	0.000000	0	8.522691	434.479832	229.166975	-355.738856	-254.754988	230.661797	-353.571258	-246.301490	44.787842	0.000000	-420.000000	0	8.854072	0.759450	1.143370	229.914386	-354.655057	-250.528239	185.126544	354.655057	169.471761	353.571258	173.698510	192.245012	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1412.769110	-420.000000	0.000000	38.000000	1460.352045	1448.285007	0.000000	0.000000	0	12.640669	430.908835	230.147046	-352.806392	-259.767623	228.825802	-351.846082	-248.961610	44.787842	0.000000	-420.000000	0	10.928761	2.074689	3.570998	229.486424	-352.326237	-254.364616	184.698582	352.326237	165.635384	351.846082	171.038390	187.232377	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1460.525702	-420.000000	0.000000	39.000000	1519.224839	1448.285007	0.000000	0.000000	0	29.442827	413.957130	232.270266	-338.147077	-273.966897	227.394225	-334.226892	-255.566453	44.787842	0.000000	-420.000000	0	19.435019	8.506258	16.951705	229.832246	-336.186985	-264.766675	185.044404	336.186985	155.233325	334.226892	164.433547	173.033103	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1519.333481	-420.000000	0.000000	40.000000	1566.275254	1448.285007	0.000000	0.000000	0	50.288424	393.123014	230.531842	-318.463587	-284.331494	223.996344	-313.553804	-263.185167	44.787842	0.000000	-420.000000	0	22.671256	3.236236	20.834116	227.264093	-316.008696	-273.758331	182.476251	316.008696	146.241669	313.553804	156.814833	162.668506	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1566.373203	-420.000000	0.000000	41.000000	1613.693086	1448.285007	0.000000	0.000000	0	77.982535	366.223608	227.111420	-292.624141	-297.752905	218.131121	-287.933815	-272.186970	44.787842	0.000000	-420.000000	0	27.500218	4.828962	26.899406	222.621270	-290.278978	-284.969937	177.833428	290.278978	135.030063	287.933815	147.813030	149.247095	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1613.795741	-420.000000	0.000000	42.000000	1660.839312	1448.285007	0.000000	0.000000	0	109.726682	335.588032	221.754754	-263.859770	-313.305249	210.108218	-259.145864	-282.191525	44.787842	0.000000	-420.000000	0	33.554828	6.054610	30.635576	215.931486	-261.502817	-297.748387	171.143644	261.502817	122.251613	259.145864	137.808475	133.694751	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1660.941539	-420.000000	0.000000	43.000000	1707.621542	1448.285007	0.000000	0.000000	0	143.602323	303.564701	215.228663	-233.136538	-329.379885	202.559608	-230.134976	-295.533825	44.787842	0.000000	-420.000000	0	36.263895	2.709067	32.023331	208.894135	-231.635757	-312.456855	164.106294	231.635757	107.543145	230.134976	124.466175	117.620115	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1707.722913	-420.000000	0.000000	44.000000	1755.183946	1448.285007	0.000000	0.000000	0	178.063903	270.799357	206.374457	-203.326174	-346.935283	193.098299	-201.751808	-310.842872	44.787842	0.000000	-420.000000	0	38.488922	2.225027	32.765344	199.736378	-202.538991	-328.889077	154.948536	202.538991	91.110923	201.751808	109.157128	100.064717	0	0	1	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1755.287028	-420.000000	0.000000	45.000000	1801.431945	1448.285007	0.000000	0.000000	0	211.700355	238.889739	196.045826	-176.082855	-366.204286	182.394085	-175.177824	-327.349057	44.787842	0.000000	-420.000000	0	41.193664	2.704742	31.909618	189.219956	-175.630340	-346.776672	144.432114	175.630340	73.223328	175.177824	92.650943	80.795714	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1801.535455	-420.000000	0.000000	46.000000	1848.963553	1448.285007	0.000000	0.000000	0	243.361193	208.364431	183.833306	-151.254268	-384.300246	169.718439	-150.796478	-342.806305	44.787842	0.000000	-420.000000	0	43.831338	2.637674	30.525308	176.775872	-151.025373	-363.553275	131.988030	151.025373	56.446725	150.796478	77.193695	62.699754	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1849.065352	-420.000000	0.000000	47.000000	1895.494707	1448.285007	0.000000	0.000000	0	272.870084	178.776326	167.667598	-130.405120	-401.928503	154.398546	-128.818547	-356.860815	44.787842	0.000000	-420.000000	0	47.007249	3.175911	29.588106	161.033072	-129.611834	-379.394659	116.245230	129.611834	40.605341	128.818547	63.139185	45.071497	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1895.596934	-420.000000	0.000000	48.000000	1942.534857	1448.285007	0.000000	0.000000	0	300.350572	151.260222	151.476164	-111.506294	-418.333967	138.334922	-109.168728	-369.445942	44.787842	0.000000	-420.000000	0	50.677367	3.670118	27.516103	144.905543	-110.337511	-393.889955	100.117701	110.337511	26.110045	109.168728	50.554058	28.666033	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1942.690549	-420.000000	0.000000	49.000000	1989.782026	1448.285007	0.000000	0.000000	0	325.987716	125.595549	136.163375	-93.159684	-431.968726	122.380406	-90.507823	-379.518169	44.787842	0.000000	-420.000000	0	54.296073	3.618706	25.664673	129.271890	-91.833754	-405.743448	84.484048	91.833754	14.256552	90.507823	40.481831	15.031274	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	1989.887247	-420.000000	0.000000	50.000000	2036.334566	1448.285007	0.000000	0.000000	0	349.077667	102.230905	120.957792	-76.757474	-443.418597	106.863146	-73.580357	-387.020151	44.787842	0.000000	-420.000000	0	58.219738	3.923665	23.364645	113.910469	-75.168916	-415.219374	69.122627	75.168916	4.780626	73.580357	32.979849	3.581403	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	2036.438076	-420.000000	0.000000	51.000000	2083.609538	1448.285007	0.000000	0.000000	0	369.185100	81.582141	107.625691	-61.694834	-451.771968	92.312605	-58.430246	-391.783575	44.787842	0.000000	-420.000000	0	61.998028	3.778290	20.648764	99.969148	-60.062540	-421.777772	55.181306	60.062540	1.777772	58.430246	28.216425	4.771968	0	0	0	0	0
at	3	62.500000	27	2	7	8.000000	35.000000	0.505068	2.521096	2083.712193	-420.000000	0.000000	52.000000	2130.474319	1448.285007	0.000000	0.000000	0	387.489198	62.698261	95.960847	-46.653979	-456.916288	80.588720	-42.953957	-394.496380	44.787842	0.000000	-420.000000	0	64.391283	2.393255	18.883880	88.274783	-44.803968	-425.706334	43.486941	44.803968	5.706334	42.953957	25.503620	9.916288	0	0	0	0	0
