subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	930.149718	-420.000000	0.000000	30.000000	977.509154	0.000000	0.000000	0.000000	0	3.629774	432.053172	222.398369	-354.657050	-249.184044	226.134670	-352.936827	-245.778766	46.123306	0.000000	-420.000000	0	5.339946	0.186731	0.021322	224.266520	-353.796939	-247.481405	178.143214	353.796939	172.518595	352.936827	174.221234	187.815956	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	977.638756	-420.000000	0.000000	31.000000	1024.596983	0.000000	0.000000	0.000000	0	3.636708	432.037075	222.276113	-354.624897	-249.172509	226.222951	-352.942780	-245.782115	46.123306	0.000000	-420.000000	0	5.468255	0.128309	0.016097	224.249532	-353.783838	-247.477312	178.126226	353.783838	172.522688	352.942780	174.217885	187.827491	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1024.716747	-420.000000	0.000000	32.000000	1071.652304	0.000000	0.000000	0.000000	0	3.621914	432.044106	222.286255	-354.638674	-249.199572	226.231342	-352.949631	-245.781276	46.123306	0.000000	-420.000000	0	5.486467	0.018212	0.007031	224.258799	-353.794152	-247.490424	178.135492	353.794152	172.509576	352.949631	174.218724	187.800428	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1071.766936	-420.000000	0.000000	33.000000	1118.482640	0.000000	0.000000	0.000000	0	3.628581	432.004549	222.161168	-354.598068	-249.177206	226.270899	-352.937141	-245.804577	46.123306	0.000000	-420.000000	0	5.569846	0.083379	0.039557	224.216034	-353.767604	-247.490891	178.092727	353.767604	172.509109	352.937141	174.195423	187.822794	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1118.592994	-420.000000	0.000000	34.000000	1165.832666	0.000000	0.000000	0.000000	0	3.600285	431.960643	222.233044	-354.610866	-249.195110	226.108342	-352.897741	-245.858413	46.123306	0.000000	-420.000000	0	5.393170	0.176677	0.043906	224.170693	-353.754303	-247.526762	178.047386	353.754303	172.473238	352.897741	174.141587	187.804890	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1165.947298	-420.000000	0.000000	35.000000	1212.732294	0.000000	0.000000	0.000000	0	3.627022	432.007349	222.195617	-354.611797	-249.187607	226.240605	-352.929220	-245.796351	46.123306	0.000000	-420.000000	0	5.540182	0.147012	0.046706	224.218111	-353.770508	-247.491979	178.094805	353.770508	172.508021	352.929220	174.203649	187.812393	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1212.842221	-420.000000	0.000000	36.000000	1260.235875	0.000000	0.000000	0.000000	0	3.603526	431.941391	222.208378	-354.602933	-249.193098	226.081984	-352.885596	-245.863004	46.123306	0.000000	-420.000000	0	5.389211	0.150971	0.065958	224.145181	-353.744264	-247.528051	178.021875	353.744264	172.471949	352.885596	174.136996	187.806902	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1260.346230	-420.000000	0.000000	37.000000	1307.025577	0.000000	0.000000	0.000000	0	3.581660	431.871212	222.100760	-354.588826	-249.228684	225.984671	-352.870921	-245.908421	46.123306	0.000000	-420.000000	0	5.390743	0.001532	0.070179	224.042716	-353.729874	-247.568552	177.919409	353.729874	172.431448	352.870921	174.091579	187.771316	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1307.135931	-420.000000	0.000000	38.000000	1354.122388	0.000000	0.000000	0.000000	0	3.535100	431.860740	221.985172	-354.542787	-249.281316	226.152102	-352.907494	-245.942330	46.123306	0.000000	-420.000000	0	5.584471	0.193728	0.010472	224.068637	-353.725140	-247.611823	177.945331	353.725140	172.388177	352.907494	174.057670	187.718684	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1354.302462	-420.000000	0.000000	39.000000	1401.324420	0.000000	0.000000	0.000000	0	3.040664	431.839384	222.655763	-354.590332	-249.703164	226.279234	-352.845534	-246.423447	46.123306	0.000000	-420.000000	0	5.189451	0.395019	0.021356	224.467499	-353.717933	-248.063306	178.344193	353.717933	171.936694	352.845534	173.576553	187.296836	0	0	1	0	0
eoi	3	64.000000	101	1	19	8.000000	25.000000	0.720508	1.769686	1401.442901	-420.000000	0.000000	40.000000	1448.412676	0.000000	0.000000	0.000000	0	2.314093	431.229487	222.496258	-354.436461	-250.339009	225.865003	-352.593999	-247.424567	46.123306	0.000000	-420.000000	0	4.820486	0.368966	0.609897	224.180631	-353.515230	-248.881788	178.057324	353.515230	171.118212	352.593999	172.575433	186.660991	0	0	1	0	0
