subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	917.184470	-420.000000	0.000000	30.000000	964.639066	0.000000	0.000000	0.000000	0	16.997458	431.633842	223.748551	-358.165030	-266.288919	227.941076	-359.563743	-256.852931	45.777176	0.000000	-420.000000	0	10.419767	0.167131	0.009302	225.844813	-358.864386	-261.570925	180.067637	358.864386	158.429075	359.563743	163.147069	200.711081	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	964.839672	-420.000000	0.000000	31.000000	1011.525207	0.000000	0.000000	0.000000	0	17.022656	431.696494	223.862931	-358.210833	-266.317236	228.028566	-359.556077	-256.799101	45.777176	0.000000	-420.000000	0	10.476502	0.056735	0.062652	225.945748	-358.883455	-261.558168	180.168573	358.883455	158.441832	359.556077	163.200899	200.682764	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1011.630001	-420.000000	0.000000	32.000000	1058.342483	0.000000	0.000000	0.000000	0	16.974531	431.691770	223.708183	-358.193277	-266.298088	228.155803	-359.536018	-256.727525	45.777176	0.000000	-420.000000	0	10.638607	0.162105	0.004724	225.931993	-358.864648	-261.512807	180.154817	358.864648	158.487193	359.536018	163.272475	200.701912	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1058.555493	-420.000000	0.000000	33.000000	1105.211087	0.000000	0.000000	0.000000	0	16.989203	431.686482	223.725884	-358.237554	-266.319561	228.036940	-359.559364	-256.773015	45.777176	0.000000	-420.000000	0	10.557884	0.080723	0.005288	225.881412	-358.898459	-261.546288	180.104236	358.898459	158.453712	359.559364	163.226985	200.680439	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1105.315454	-420.000000	0.000000	34.000000	1152.550623	0.000000	0.000000	0.000000	0	17.006180	431.725310	223.850348	-358.250117	-266.327159	228.065293	-359.553369	-256.742458	45.777176	0.000000	-420.000000	0	10.551337	0.006547	0.038828	225.957821	-358.901743	-261.534809	180.180645	358.901743	158.465191	359.553369	163.257542	200.672841	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1152.651140	-420.000000	0.000000	35.000000	1199.496646	0.000000	0.000000	0.000000	0	17.010025	431.736205	223.840837	-358.256327	-266.334752	228.113858	-359.550613	-256.727726	45.777176	0.000000	-420.000000	0	10.593811	0.042474	0.010896	225.977348	-358.903470	-261.531239	180.200172	358.903470	158.468761	359.550613	163.272274	200.665248	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1199.601868	-420.000000	0.000000	36.000000	1246.429410	0.000000	0.000000	0.000000	0	17.003599	431.728680	223.834712	-358.257070	-266.338709	228.077656	-359.554099	-256.726220	45.777176	0.000000	-420.000000	0	10.587011	0.006800	0.007525	225.956184	-358.905584	-261.532464	180.179008	358.905584	158.467536	359.554099	163.273780	200.661291	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1246.528216	-420.000000	0.000000	37.000000	1294.164597	0.000000	0.000000	0.000000	0	16.999635	431.749509	223.855627	-358.245271	-266.359517	228.200046	-359.516672	-256.643405	45.777176	0.000000	-420.000000	0	10.718828	0.131817	0.020829	226.027836	-358.880971	-261.501461	180.250661	358.880971	158.498539	359.516672	163.356595	200.640483	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1294.262547	-420.000000	0.000000	38.000000	1341.045605	0.000000	0.000000	0.000000	0	16.782200	431.145183	223.784900	-358.045575	-266.316912	227.451539	-358.623083	-256.571899	45.777176	0.000000	-420.000000	0	10.427993	0.290835	0.604327	225.618219	-358.334329	-261.444405	179.841043	358.334329	158.555595	358.623083	163.428101	200.683088	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1341.233379	-420.000000	0.000000	39.000000	1388.581469	0.000000	0.000000	0.000000	0	17.128698	428.394921	224.455190	-359.220472	-269.225141	223.639616	-353.065504	-255.154158	45.777176	0.000000	-420.000000	0	15.379900	4.951908	2.750262	224.047403	-356.142988	-262.189650	178.270227	356.142988	157.810350	353.065504	164.845842	197.774859	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1388.684125	-420.000000	0.000000	40.000000	1435.913734	0.000000	0.000000	0.000000	0	19.284361	424.405687	227.768308	-357.337251	-274.153539	221.304701	-345.770253	-252.316567	45.777176	0.000000	-420.000000	0	25.542650	10.162750	3.989235	224.536504	-351.553752	-263.235053	178.759328	351.553752	156.764947	345.770253	167.683433	192.846461	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1436.013395	-420.000000	0.000000	41.000000	1483.062501	1471.739183	0.000000	0.000000	0	26.899704	416.948887	233.578841	-347.492360	-277.532083	223.949652	-333.980234	-250.949813	45.777176	0.000000	-420.000000	0	31.335538	5.792887	7.456799	228.764247	-340.736297	-264.240948	182.987071	340.736297	155.759052	333.980234	169.050187	189.467917	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1483.173711	-420.000000	0.000000	42.000000	1530.005531	1471.739183	0.000000	0.000000	0	39.123448	407.285271	239.793463	-333.862967	-281.210927	226.038189	-321.041174	-251.311860	45.777176	0.000000	-420.000000	0	35.320817	3.985279	9.663616	232.915826	-327.452071	-266.261393	187.138650	327.452071	153.738607	321.041174	168.688140	185.789073	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1530.111180	-420.000000	0.000000	43.000000	1577.370730	1471.739183	0.000000	0.000000	0	50.940616	395.599971	239.718799	-319.723728	-283.795667	224.957558	-308.098821	-251.875292	45.777176	0.000000	-420.000000	0	37.039749	1.718932	11.685300	232.338179	-313.911274	-267.835479	186.561003	313.911274	152.164521	308.098821	168.124708	183.204333	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1577.475952	-420.000000	0.000000	44.000000	1624.333435	1471.739183	0.000000	0.000000	0	64.217723	381.631606	236.595647	-306.127419	-288.578855	221.700446	-294.945453	-256.832230	45.777176	0.000000	-420.000000	0	36.806951	0.232798	13.968365	229.148047	-300.536436	-272.705542	183.370871	300.536436	147.294458	294.945453	163.167770	178.421145	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1624.444645	-420.000000	0.000000	45.000000	1671.792735	1471.739183	0.000000	0.000000	0	82.487560	363.035152	231.684883	-288.884329	-296.338861	217.652520	-277.554841	-263.811109	45.777176	0.000000	-420.000000	0	37.192998	0.386048	18.596454	224.668702	-283.219585	-280.074985	178.891526	283.219585	139.925015	277.554841	156.188891	170.661139	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1671.898385	-420.000000	0.000000	46.000000	1718.488964	1471.739183	0.000000	0.000000	0	103.778648	340.578822	223.337322	-270.594330	-309.004601	210.420027	-259.102300	-273.518557	45.777176	0.000000	-420.000000	0	39.473821	2.280823	22.456330	216.878674	-264.848315	-291.261579	171.101498	264.848315	128.738421	259.102300	146.481443	157.995399	0	0	1	0	0
mm	1	61.000000	67	3	41	8.000000	55.000000	0.289010	3.264965	1718.594613	-420.000000	0.000000	47.000000	1765.226255	1471.739183	0.000000	0.000000	0	129.235776	314.075660	212.787151	-250.451932	-325.836861	200.500576	-238.189623	-285.490562	45.777176	0.000000	-420.000000	0	43.922067	4.448246	26.503162	206.643863	-244.320777	-305.663712	160.866688	244.320777	114.336288	238.189623	134.509438	141.163139	0	0	1	0	0
