subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	886.040594	-420.000000	0.000000	30.000000	932.673319	0.000000	0.000000	0.000000	0	3.011812	437.881746	227.228374	-357.269873	-249.398213	228.515964	-359.281359	-240.991336	46.703354	0.000000	-420.000000	0	8.739539	0.008656	0.025183	227.872169	-358.275616	-245.194775	181.168815	358.275616	174.805225	359.281359	179.008664	187.601787	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	932.982995	-420.000000	0.000000	31.000000	979.850115	0.000000	0.000000	0.000000	0	3.045818	437.885746	227.190474	-357.263705	-249.395862	228.649632	-359.238690	-240.972824	46.703354	0.000000	-420.000000	0	8.773670	0.034130	0.004000	227.920053	-358.251198	-245.184343	181.216699	358.251198	174.815657	359.238690	179.027176	187.604138	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	980.070396	-420.000000	0.000000	32.000000	1027.144537	0.000000	0.000000	0.000000	0	2.987510	437.841005	226.995597	-357.270347	-249.440464	228.693205	-359.221530	-240.973984	46.703354	0.000000	-420.000000	0	8.852699	0.079029	0.044741	227.844401	-358.245938	-245.207224	181.141047	358.245938	174.792776	359.221530	179.026016	187.559536	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1027.357546	-420.000000	0.000000	33.000000	1073.882483	0.000000	0.000000	0.000000	0	3.027813	437.874611	227.159390	-357.273146	-249.412530	228.660247	-359.226905	-240.985918	46.703354	0.000000	-420.000000	0	8.779381	0.073318	0.033606	227.909818	-358.250026	-245.199224	181.206464	358.250026	174.800776	359.226905	179.014082	187.587470	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1074.104902	-420.000000	0.000000	34.000000	1121.135415	0.000000	0.000000	0.000000	0	3.046051	437.882926	227.144579	-357.277447	-249.418743	228.724787	-359.211898	-240.967659	46.703354	0.000000	-420.000000	0	8.812489	0.033108	0.008315	227.934683	-358.244672	-245.193201	181.231329	358.244672	174.806799	359.211898	179.032341	187.581257	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1121.346713	-420.000000	0.000000	35.000000	1168.151813	0.000000	0.000000	0.000000	0	3.059413	437.908597	227.213103	-357.298327	-249.436077	228.708826	-359.227372	-240.950714	46.703354	0.000000	-420.000000	0	8.829483	0.016994	0.025671	227.960965	-358.262849	-245.193395	181.257611	358.262849	174.806605	359.227372	179.049286	187.563923	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1168.378509	-420.000000	0.000000	36.000000	1215.073255	0.000000	0.000000	0.000000	0	3.045116	437.907220	227.262899	-357.289590	-249.413302	228.636699	-359.253528	-240.992939	46.703354	0.000000	-420.000000	0	8.754821	0.074663	0.001378	227.949799	-358.271559	-245.203120	181.246445	358.271559	174.796880	359.253528	179.007061	187.586698	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1215.344435	-420.000000	0.000000	37.000000	1262.205995	0.000000	0.000000	0.000000	0	3.043141	437.890338	227.112061	-357.290611	-249.451507	228.752940	-359.220825	-240.938508	46.703354	0.000000	-420.000000	0	8.881968	0.127148	0.016882	227.932500	-358.255718	-245.195008	181.229146	358.255718	174.804992	359.220825	179.061492	187.548493	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1262.417721	-420.000000	0.000000	38.000000	1309.625314	0.000000	0.000000	0.000000	0	3.067919	437.920318	227.251289	-357.297308	-249.439350	228.721809	-359.237049	-240.959524	46.703354	0.000000	-420.000000	0	8.822271	0.059697	0.029980	227.986549	-358.267178	-245.199437	181.283195	358.267178	174.800563	359.237049	179.040476	187.560650	0	0	1	0	0
nt	1	63.500000	69	1	26	8.000000	25.000000	0.710407	1309.837895	-420.000000	0.000000	39.000000	1356.301239	0.000000	0.000000	0.000000	0	3.060283	437.896874	227.176608	-357.278346	-249.429850	228.758945	-359.215327	-240.964171	46.703354	0.000000	-420.000000	0	8.827424	0.005152	0.023444	227.967777	-358.246837	-245.197010	181.264423	358.246837	174.802990	359.215327	179.035829	187.570150	0	0	1	0	0
