subjName	sessionNR	IOD	trialN	textureType	texnum	visualAngle	simulatedDepth	light_intensity	ambient_intensity	time	displayDistance	isRotated	frameN	timTote	startTime	touchTime	endTime	fingersOccluded	distanceToHome	distanceToObject	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	targetX	targetY	targetZ	failCause	gripAperture	gripApertureVel	distFromObjVel	gripOriginX	gripOriginY	gripOriginZ	distFromObjX	distFromObjY	distFromObjZ	y_dist_thm	z_dist_thm	z_dist_ind	handOnObj	handnearObj	handfarObj	handTouchObj	framesOccluded
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	887.011167	-420.000000	0.000000	30.000000	933.473884	0.000000	0.000000	0.000000	0	7.519973	429.447693	218.830991	-353.335006	-257.907017	221.501864	-358.143528	-252.661513	44.827835	0.000000	-420.000000	0	7.600707	0.130230	0.141380	220.166427	-355.739267	-255.284265	175.338592	355.739267	164.715735	358.143528	167.338487	209.092983	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	933.662084	-420.000000	0.000000	31.000000	980.635508	0.000000	0.000000	0.000000	0	7.517089	429.517735	218.813017	-353.323353	-257.919921	221.766861	-358.182780	-252.606012	44.827835	0.000000	-420.000000	0	7.783113	0.182406	0.070042	220.289939	-355.753067	-255.262967	175.462104	355.753067	164.737033	358.182780	167.393988	209.080079	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	980.732175	-420.000000	0.000000	32.000000	1027.645717	0.000000	0.000000	0.000000	0	7.531897	429.434197	218.804238	-353.335438	-257.927823	221.550997	-358.108745	-252.660720	44.827835	0.000000	-420.000000	0	7.620467	0.162646	0.083538	220.177618	-355.722091	-255.294271	175.349783	355.722091	164.705729	358.108745	167.339280	209.072177	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1027.741956	-420.000000	0.000000	33.000000	1074.806486	0.000000	0.000000	0.000000	0	7.555278	429.329568	218.625457	-353.280720	-257.925106	221.498625	-358.059759	-252.739006	44.827835	0.000000	-420.000000	0	7.615113	0.005354	0.104629	220.062041	-355.670239	-255.332056	175.234206	355.670239	164.667944	358.059759	167.260994	209.074894	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1074.904007	-420.000000	0.000000	34.000000	1122.075469	0.000000	0.000000	0.000000	0	7.544214	429.421543	218.774055	-353.350379	-257.954001	221.513860	-358.112601	-252.669462	44.827835	0.000000	-420.000000	0	7.623099	0.007986	0.091975	220.143958	-355.731490	-255.311732	175.316122	355.731490	164.688268	358.112601	167.330538	209.045999	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1122.176413	-420.000000	0.000000	35.000000	1168.738363	0.000000	0.000000	0.000000	0	7.520683	429.466926	218.835956	-353.326374	-257.889743	221.603802	-358.139155	-252.664230	44.827835	0.000000	-420.000000	0	7.624291	0.001192	0.045383	220.219879	-355.732765	-255.276986	175.392044	355.732765	164.723014	358.139155	167.335770	209.110257	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1168.835029	-420.000000	0.000000	36.000000	1216.101447	0.000000	0.000000	0.000000	0	7.537199	429.491548	218.909086	-353.354526	-257.899991	221.633481	-358.128121	-252.672040	44.827835	0.000000	-420.000000	0	7.585579	0.038712	0.024622	220.271284	-355.741323	-255.286016	175.443449	355.741323	164.713984	358.128121	167.327960	209.100009	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1216.197257	-420.000000	0.000000	37.000000	1262.967939	0.000000	0.000000	0.000000	0	7.546281	429.422361	218.812078	-353.328961	-257.909288	221.562032	-358.089206	-252.704886	44.827835	0.000000	-420.000000	0	7.570203	0.015376	0.069187	220.187055	-355.709083	-255.307087	175.359220	355.709083	164.692913	358.089206	167.295114	209.090712	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1263.068455	-420.000000	0.000000	38.000000	1310.366951	0.000000	0.000000	0.000000	0	7.543530	429.428463	218.957026	-353.339481	-257.858642	221.501302	-358.043055	-252.736439	44.827835	0.000000	-420.000000	0	7.404993	0.165211	0.006102	220.229164	-355.691268	-255.297540	175.401329	355.691268	164.702460	358.043055	167.263561	209.141358	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1310.518795	-420.000000	0.000000	39.000000	1357.647056	0.000000	0.000000	0.000000	0	7.456146	429.554901	219.577653	-353.397852	-257.704325	221.324096	-357.954264	-252.638261	44.827835	0.000000	-420.000000	0	7.033915	0.371078	0.126438	220.450875	-355.676058	-255.171293	175.623039	355.676058	164.828707	357.954264	167.361739	209.295675	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1357.756126	-420.000000	0.000000	40.000000	1404.633739	0.000000	0.000000	0.000000	0	7.394887	429.344046	218.691866	-352.991389	-257.837778	222.051399	-357.873696	-252.384159	44.827835	0.000000	-420.000000	0	8.053902	1.019987	0.210855	220.371632	-355.432543	-255.110968	175.543797	355.432543	164.889032	357.873696	167.615841	209.162222	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1404.731261	-420.000000	0.000000	41.000000	1452.413001	1440.834427	0.000000	0.000000	0	11.336938	426.033396	220.552497	-350.407966	-263.292948	221.347283	-355.068769	-253.837914	44.827835	0.000000	-420.000000	0	10.571303	2.517401	3.310650	220.949890	-352.738368	-258.565431	176.122055	352.738368	161.434569	355.068769	166.162086	203.707052	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1452.527205	-420.000000	0.000000	42.000000	1511.288361	1440.834427	0.000000	0.000000	0	24.972643	413.462764	223.976010	-338.450994	-274.655317	222.729337	-341.313933	-258.357709	44.827835	0.000000	-420.000000	0	16.594055	6.022752	12.570631	223.352674	-339.882464	-266.506513	178.524838	339.882464	153.493487	341.313933	161.642291	192.344683	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1511.396148	-420.000000	0.000000	43.000000	1558.394808	1440.834427	0.000000	0.000000	0	45.260773	394.289129	225.767620	-320.941794	-285.879491	222.147562	-318.550111	-263.335544	44.827835	0.000000	-420.000000	0	22.957668	6.363613	19.173635	223.957591	-319.745952	-274.607518	179.129756	319.745952	145.392482	318.550111	156.664456	181.120509	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1558.492330	-420.000000	0.000000	44.000000	1605.490562	1440.834427	0.000000	0.000000	0	71.638069	369.354596	225.575334	-297.794427	-300.214852	218.329211	-291.019523	-268.681593	44.827835	0.000000	-420.000000	0	33.056801	10.099133	24.934533	221.952273	-294.406975	-284.448223	177.124438	294.406975	135.551777	291.019523	151.318407	166.785148	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1605.619736	-420.000000	0.000000	45.000000	1652.077321	1440.834427	0.000000	0.000000	0	102.419388	340.182713	222.861833	-271.355302	-317.109188	212.240186	-259.794954	-275.013146	44.827835	0.000000	-420.000000	0	44.928140	11.871339	29.171883	217.551010	-265.575128	-296.061167	172.723174	265.575128	123.938833	259.794954	144.986854	149.890812	0	0	1	0	0
rhh	3	65.000000	46	1	4	8.000000	55.000000	0.763512	1.784698	1652.180403	-420.000000	0.000000	46.000000	1699.537499	1440.834427	0.000000	0.000000	0	136.158655	308.091157	218.859737	-242.797128	-336.919962	202.898336	-227.091183	-282.640445	44.827835	0.000000	-420.000000	0	58.717196	13.789056	32.091555	210.879036	-234.944156	-309.780203	166.051201	234.944156	110.219797	227.091183	137.359555	130.080038	0	0	1	0	0
